,Q,A
4464,2,0
4455,0,0
1367,1,0
5321,2,1
6368,1,1
5327,1,0
9330,2,1
6227,1,0
2286,2,0
3648,1,1
9837,2,0
8452,0,1
4907,1,1
3941,2,0
1250,2,1
9885,1,0
3213,2,1
4104,0,0
5467,1,0
5325,2,1
9454,2,0
6144,0,1
8532,3,0
4266,0,0
9625,2,1
7608,2,0
3857,2,1
9524,2,0
9502,1,0
7846,2,0
1880,3,1
1043,2,0
6352,2,1
3809,3,1
8627,1,1
4699,1,1
881,2,0
43,2,1
6232,1,1
5308,1,0
6821,1,1
3340,1,0
8542,1,0
716,1,1
7539,2,1
6311,2,0
387,2,0
6497,1,0
9433,1,0
165,1,0
7292,2,1
8462,1,0
4589,3,0
6876,0,0
598,2,1
4690,0,1
1895,2,1
1775,3,1
8790,1,0
692,0,1
6625,0,1
8,0,1
1051,1,1
784,1,0
2122,3,0
9843,1,0
2448,3,1
9635,1,0
8079,1,1
307,0,0
3641,1,0
6021,0,0
483,0,0
5052,3,1
6361,1,0
9898,1,0
7350,2,0
2214,2,0
9704,2,1
6831,2,0
7599,1,1
4859,2,1
2555,2,1
3749,1,0
2873,1,1
4079,1,1
3206,3,0
9563,2,0
8852,2,1
409,1,0
7970,2,1
3884,1,0
4598,2,1
5046,2,1
416,1,1
3179,2,1
5171,0,1
5880,3,0
4726,3,0
4161,1,1
4278,1,0
9355,2,0
9013,2,1
1106,1,0
2593,2,0
3365,2,1
9809,2,1
6360,1,1
7905,3,1
9761,2,1
866,2,1
1120,3,1
1104,2,1
1800,2,0
2587,2,1
3420,1,0
3426,1,1
9786,3,0
2603,2,1
8599,1,1
6884,1,1
5362,1,0
3841,1,1
4561,0,0
1725,1,0
9622,1,1
1781,2,0
6101,1,1
8329,1,0
4668,1,0
6433,1,1
5980,3,0
1020,1,0
2997,2,1
7371,1,1
9533,3,1
6736,1,1
9035,2,0
1618,2,1
2001,2,0
3317,2,0
6654,1,0
5041,2,1
1008,2,1
2520,0,0
5084,1,1
8719,1,1
5273,3,0
6346,1,1
6804,3,1
9297,1,1
9235,0,0
584,1,1
2881,3,0
4242,1,1
5985,1,0
6834,2,0
5657,3,1
8334,3,0
6706,3,1
2115,0,0
8565,2,0
1164,3,1
4310,1,0
7950,2,0
6455,1,1
980,2,0
4038,1,0
321,1,1
8833,2,1
7916,0,1
5071,1,0
7060,0,0
3105,1,1
3044,1,0
4403,2,0
7573,1,0
8072,2,1
9116,2,0
862,3,0
3186,1,1
2133,0,0
3137,2,1
3079,2,1
9672,1,0
9683,2,1
2007,1,0
2837,0,0
4319,2,0
9897,1,1
550,3,1
8623,2,1
8206,2,0
1445,1,0
7028,3,0
8880,2,0
5470,1,1
8191,2,1
4393,2,1
6422,2,1
445,2,0
1247,2,0
4314,1,1
65,3,0
2045,2,0
6581,2,1
4656,1,0
7408,2,0
2113,1,0
3139,2,0
5860,2,1
5354,3,1
3550,2,0
1801,0,1
4373,2,0
7867,2,0
2822,2,1
7761,2,1
1278,1,0
394,2,0
2803,2,0
8353,0,0
9599,1,0
1127,1,1
4381,1,1
315,1,1
4633,2,0
4014,1,0
850,1,1
3565,2,1
9386,1,1
9789,1,0
3054,1,1
6384,2,0
2759,1,0
9681,3,1
3129,2,1
3496,2,1
1006,2,1
8233,1,0
6647,1,0
6938,0,0
5959,2,0
2957,2,0
2279,3,1
1425,1,0
9237,2,1
7673,3,0
1474,3,1
4662,2,1
36,2,1
6547,2,1
7937,2,0
1347,2,0
8583,1,1
9597,2,1
2188,2,0
8006,1,0
626,0,0
6772,2,1
2815,2,0
4037,2,0
6548,3,1
7926,1,1
9914,2,0
378,2,0
6385,1,0
5435,2,0
1436,0,1
1107,3,0
6425,1,0
9878,1,1
5261,1,0
8298,0,0
6113,2,1
8163,1,0
9615,0,1
9848,3,1
4355,2,1
491,2,1
1641,1,0
6563,2,1
6131,1,1
237,3,0
6356,3,0
5375,2,1
6069,0,1
7912,2,0
6531,2,0
9812,2,0
8602,1,1
2294,0,0
8011,1,0
167,2,0
2140,0,1
561,2,0
6984,3,1
4019,1,0
6317,1,0
5828,2,0
8187,2,0
8098,0,1
1669,3,0
4018,3,1
3178,3,1
5276,2,1
9059,0,1
6250,2,1
9906,3,0
6549,1,1
6715,2,0
1490,3,1
1400,0,0
4163,2,1
333,2,1
4170,2,0
3980,3,1
157,3,0
1950,3,1
663,1,1
4312,1,1
4579,3,1
2903,1,0
5810,3,1
113,2,1
5747,2,0
6538,2,0
5450,2,0
7695,2,1
1487,1,0
1719,2,1
4441,1,1
2811,2,1
4747,2,1
1497,2,1
1007,2,1
6635,1,0
713,1,0
9264,2,1
8994,2,1
3404,2,0
3463,2,1
5891,1,0
9217,1,0
5406,1,1
4929,0,1
9576,1,0
1356,3,1
9648,3,0
9967,1,1
8573,3,1
8872,2,1
9300,1,1
1820,2,1
4069,0,1
2444,1,1
2446,1,1
2821,2,0
2311,1,0
4207,1,0
5183,1,0
2637,0,0
9255,3,1
4413,2,0
249,2,0
4642,2,0
5173,2,1
1736,1,1
8466,2,1
2595,0,1
1496,3,0
1645,3,0
3731,3,1
4565,3,1
3324,2,1
2952,1,0
4558,2,0
7976,1,1
1988,1,1
3922,2,0
4853,1,1
4543,2,1
6909,1,0
8614,1,0
2354,1,0
9874,3,0
1066,1,0
357,2,0
5903,2,1
7625,2,0
9396,2,0
7248,1,0
2585,1,1
5075,1,0
8751,2,0
4805,1,0
2062,1,1
1566,0,1
7185,1,1
4708,2,0
4850,2,0
4462,1,0
3848,2,0
5094,1,1
1478,3,0
3399,1,1
3355,1,1
2328,1,1
613,2,0
6810,0,1
486,2,0
1413,2,0
4150,0,0
8628,0,1
5202,1,0
6046,1,0
3172,2,0
9262,1,0
1992,1,1
60,2,1
3924,0,0
2529,3,0
3418,1,0
9721,1,0
3869,1,1
7276,2,1
359,2,1
902,3,0
3908,2,0
3288,1,0
3457,1,0
1658,2,1
3032,0,0
7956,1,1
151,3,1
6724,2,0
9336,1,1
3041,1,0
3373,3,1
9431,2,0
1245,2,0
64,3,1
7699,2,1
4701,0,0
9799,1,0
3842,1,0
6720,1,1
8458,3,1
6243,2,0
6005,2,1
1058,1,1
4372,3,0
5078,1,1
3520,1,0
4358,1,0
6215,3,0
6519,2,0
6621,2,1
2436,1,1
9926,0,0
5452,2,1
7194,3,0
1738,1,0
6013,1,1
1388,1,1
7500,2,0
2635,2,0
4984,3,0
3875,0,1
9617,1,0
7676,2,1
1600,1,1
6573,3,1
677,1,1
8186,1,0
3883,1,0
7733,1,0
177,2,1
5615,1,0
4183,2,1
187,2,0
924,1,0
621,2,0
1943,2,1
9366,3,0
2248,0,1
4852,2,0
146,1,0
4790,2,1
2925,3,1
6673,2,1
8917,1,0
5341,3,0
5089,2,0
4827,1,1
2674,3,1
8850,1,0
2663,1,0
8319,2,1
7860,1,1
9271,2,1
1343,2,0
2863,1,0
139,1,0
9884,0,0
8586,1,1
5381,2,1
7969,3,1
864,3,1
9888,2,0
9743,3,1
9331,0,0
661,1,1
2542,1,0
6100,1,0
7681,3,1
2577,1,0
927,2,0
2518,2,0
9805,1,1
6456,3,0
7967,3,0
7598,2,1
8911,3,1
13,1,1
9855,2,0
4502,2,1
9464,2,0
5189,2,1
4380,1,1
15,2,1
934,3,1
709,3,1
7415,2,0
2835,1,1
9254,2,1
3967,2,1
4896,2,0
3344,2,1
6321,2,1
8386,1,1
6042,2,1
7953,2,1
994,2,1
2817,2,1
3500,2,1
4484,1,0
3170,3,0
9083,1,1
3462,1,1
2810,0,0
5384,2,1
6164,0,1
3283,2,0
2653,2,1
2548,2,1
8064,1,1
4361,3,1
6389,1,1
3442,1,1
4353,1,1
6569,2,1
9616,2,0
8983,2,0
4264,3,1
6452,1,0
4937,1,1
4608,0,0
879,1,1
4818,1,0
8201,1,0
1349,2,1
6840,2,0
2662,1,0
4257,1,1
9522,2,1
4861,1,1
4741,2,1
1930,1,0
1876,2,0
5713,0,1
3853,2,0
7080,1,1
3688,1,1
5179,2,1
6991,2,1
5498,0,0
8014,1,1
9942,1,1
9868,2,0
9602,3,1
8493,2,1
170,2,1
2033,2,0
9429,2,1
7110,1,0
7850,1,0
9688,2,1
1789,3,1
4120,1,1
8156,3,0
8843,1,1
5390,0,0
8846,2,0
6747,0,1
6690,1,0
4370,2,0
9137,1,0
5909,0,0
4202,1,1
9318,1,1
1814,1,0
7925,2,0
702,1,1
